105, 152
107, 172
110, 191
113, 210
119, 227
130, 241
145, 251
162, 259
182, 262
202, 259
220, 251
235, 240
246, 227
252, 210
254, 192
256, 173
257, 154
118, 130
127, 120
141, 116
154, 119
166, 124
196, 124
210, 119
223, 117
236, 122
244, 133
181, 138
181, 151
181, 164
181, 177
165, 187
173, 189
181, 191
190, 189
198, 187
132, 144
141, 139
150, 138
159, 143
150, 145
141, 146
204, 144
213, 139
222, 140
230, 145
222, 146
212, 146
147, 213
161, 210
173, 207
182, 208
191, 206
203, 208
216, 211
203, 218
192, 220
183, 221
174, 221
161, 219
152, 214
173, 214
182, 214
191, 213
212, 212
191, 212
183, 213
174, 212
