100, 145
102, 164
104, 183
107, 202
115, 218
126, 231
140, 241
155, 249
174, 252
192, 249
208, 241
222, 230
233, 217
239, 201
241, 182
243, 163
244, 144
115, 127
123, 115
136, 110
150, 111
163, 116
177, 116
191, 112
205, 112
218, 118
226, 129
171, 129
171, 141
171, 153
171, 166
157, 175
164, 177
172, 178
179, 177
186, 175
130, 135
138, 131
146, 130
154, 134
146, 137
138, 137
188, 135
195, 131
204, 132
211, 136
204, 138
195, 137
146, 202
157, 198
165, 196
172, 197
180, 195
189, 198
200, 202
189, 206
181, 208
173, 209
165, 208
157, 207
151, 202
165, 201
172, 202
180, 201
195, 201
180, 201
173, 201
166, 201
