111, 139
112, 157
112, 176
115, 193
120, 210
129, 224
144, 234
161, 241
181, 244
201, 242
217, 235
232, 225
242, 212
247, 195
250, 178
252, 159
253, 141
120, 124
128, 113
143, 111
157, 115
171, 120
188, 121
203, 118
217, 116
231, 120
239, 129
179, 128
178, 139
178, 150
178, 161
163, 173
170, 174
177, 176
185, 175
193, 174
137, 133
144, 129
153, 128
162, 133
153, 134
144, 135
197, 134
207, 131
216, 132
224, 137
215, 138
206, 137
151, 199
161, 193
170, 190
178, 192
186, 190
195, 193
205, 199
196, 202
187, 204
179, 204
171, 204
162, 202
156, 198
171, 196
178, 197
186, 196
201, 198
187, 195
179, 196
171, 195
