1200, 1636
1205, 1797
1219, 1961
1242, 2119
1299, 2261
1390, 2384
1501, 2491
1639, 2564
1805, 2567
1965, 2539
2094, 2462
2196, 2361
2280, 2242
2326, 2101
2345, 1949
2362, 1786
2371, 1627
1363, 1591
1416, 1502
1518, 1468
1625, 1481
1723, 1531
1846, 1517
1953, 1478
2064, 1464
2167, 1496
2225, 1585
1797, 1622
1801, 1732
1805, 1844
1808, 1961
1675, 1986
1737, 2011
1804, 2034
1875, 2011
1937, 1981
1480, 1657
1529, 1628
1588, 1624
1648, 1647
1592, 1660
1533, 1665
1939, 1638
1991, 1611
2049, 1617
2098, 1642
2050, 1652
1994, 1650
1566, 2141
1667, 2133
1742, 2132
1805, 2143
1874, 2130
1944, 2124
2025, 2118
1950, 2171
1877, 2192
1807, 2202
1741, 2196
1666, 2185
1593, 2146
1742, 2154
1806, 2161
1875, 2150
1996, 2129
1877, 2143
1807, 2155
1743, 2150
