132, 139
131, 153
131, 167
132, 181
134, 196
139, 210
149, 223
162, 234
178, 237
196, 236
211, 228
224, 218
234, 204
240, 188
242, 171
244, 153
245, 135
131, 138
138, 130
149, 128
161, 129
172, 133
180, 132
192, 127
206, 126
220, 128
229, 136
176, 141
175, 151
175, 162
174, 173
162, 176
168, 180
176, 182
184, 179
193, 177
144, 142
149, 140
156, 141
163, 143
156, 145
149, 145
194, 143
201, 139
208, 139
214, 142
208, 144
201, 144
154, 192
162, 191
170, 191
177, 193
185, 192
195, 192
208, 193
195, 199
185, 201
177, 201
169, 200
162, 198
157, 192
170, 195
177, 195
185, 195
204, 193
185, 195
177, 195
170, 194
