99, 151
101, 171
104, 190
108, 209
115, 225
127, 239
142, 250
158, 257
176, 259
194, 256
208, 245
221, 233
231, 218
237, 202
240, 183
241, 166
242, 148
117, 143
126, 134
139, 130
152, 131
164, 135
179, 134
191, 130
204, 128
216, 130
225, 137
173, 144
173, 155
173, 167
174, 179
161, 187
167, 189
174, 191
181, 188
187, 186
133, 149
140, 144
148, 144
154, 149
147, 151
139, 151
191, 147
197, 142
205, 142
211, 146
206, 148
198, 148
147, 209
158, 207
168, 205
175, 206
181, 204
189, 204
200, 206
190, 211
182, 214
176, 215
169, 215
159, 214
150, 209
168, 209
175, 209
182, 208
196, 207
182, 208
175, 209
168, 209
