109, 133
112, 150
114, 166
117, 182
122, 197
131, 209
144, 218
160, 224
178, 225
196, 224
210, 217
222, 208
231, 196
236, 181
239, 165
241, 149
243, 132
125, 121
132, 113
144, 110
155, 111
167, 115
189, 114
200, 110
211, 109
222, 111
229, 119
178, 126
179, 136
180, 146
180, 157
167, 164
173, 166
180, 167
186, 166
192, 164
140, 128
146, 123
154, 123
161, 129
154, 130
146, 130
195, 129
202, 122
210, 122
216, 127
210, 129
202, 129
156, 185
165, 181
173, 179
180, 180
186, 179
192, 180
200, 185
192, 189
185, 190
179, 191
173, 191
165, 189
160, 185
173, 184
180, 185
186, 184
196, 185
185, 184
179, 184
173, 184
