113, 150
114, 168
115, 185
118, 202
122, 218
132, 232
145, 242
161, 249
179, 251
197, 249
213, 241
226, 231
235, 217
239, 200
241, 183
242, 166
242, 148
128, 135
135, 127
146, 125
157, 127
166, 132
185, 133
195, 128
206, 125
218, 127
225, 134
177, 144
177, 155
178, 165
178, 176
166, 184
172, 186
178, 188
185, 186
191, 184
142, 146
148, 142
155, 142
161, 147
154, 149
147, 148
193, 148
199, 143
206, 142
213, 146
207, 148
200, 149
153, 209
163, 206
171, 205
179, 207
185, 206
193, 206
204, 209
194, 213
186, 213
179, 213
172, 213
163, 212
157, 209
171, 209
179, 210
185, 209
201, 209
185, 209
179, 209
172, 209
